Sno,year,state,month,number,date
562,2000,Amapa,Maio,0,01-01-2000
563,2001,Amapa,Maio,0,01-01-2001
564,2002,Amapa,Maio,3,01-01-2002
565,2003,Amapa,Maio,0,01-01-2003
566,2004,Amapa,Maio,0,01-01-2004
567,2005,Amapa,Maio,0,01-01-2005
568,2006,Amapa,Maio,0,01-01-2006
569,2007,Amapa,Maio,0,01-01-2007
570,2008,Amapa,Maio,0,01-01-2008
571,2009,Amapa,Maio,2,01-01-2009
572,2010,Amapa,Maio,2,01-01-2010
573,2011,Amapa,Maio,2,01-01-2011
574,2012,Amapa,Maio,2,01-01-2012
575,2013,Amapa,Maio,0,01-01-2013
576,2014,Amapa,Maio,0,01-01-2014
577,2015,Amapa,Maio,0,01-01-2015
578,2016,Amapa,Maio,1,01-01-2016
579,2017,Amapa,Maio,1,01-01-2017
580,1998,Amapa,Junho,0,01-01-1998
581,1999,Amapa,Junho,2,01-01-1999
582,2000,Amapa,Junho,0,01-01-2000
